Number,Artist,Gender
1,The Beatles,Male
2,The Beach Boys,Male
3,The Beatles,Male
4,Bob Dylan,Male
5,The Beatles,Male
6,Marvin Gaye,Male
7,The Rolling Stones,Male
8,The Clash,Male
9,Bob Dylan,Male
10,The Beatles,Male
11,Elvis Presley,Male
12,Miles Davis,Male
13,The Velvet Underground,Mixed
14,The Beatles,Male
15,The Jimi Hendrix Experience,Male
16,Bob Dylan,Male
17,Nirvana,Male
18,Bruce Springsteen,Male
19,Van Morrison,Male
20,Michael Jackson,Male
21,Chuck Berry,Male
22,Robert Johnson,Male
23,John Lennon / Plastic Ono Band,Mixed
24,Stevie Wonder,Male
25,James Brown,Male
26,Fleetwood Mac,Mixed
27,U2,Male
28,The Who,Male
29,Led Zeppelin,Male
30,Joni Mitchell,Female
31,Bob Dylan,Male
32,The Rolling Stones,Male
33,Ramones,Male
34,The Band,Male
35,David Bowie,Male
36,Carole King,Female
37,Eagles,Male
38,Muddy Waters,Male
39,The Beatles,Male
40,Love,Male
41,Sex Pistols,Male
42,The Doors,Male
43,Pink Floyd,Male
44,Patti Smith,Female
45,The Band,Male
46,Bob Marley & The Wailers,Male
47,John Coltrane,Male
48,Public Enemy,Male
49,The Allman Brothers Band,Male
50,Little Richard,Male
51,Simon & Garfunkel,Male
52,Al Green,Male
53,The Beatles,Male
54,Ray Charles,Male
55,The Jimi Hendrix Experience,Male
56,Elvis Presley,Male
57,Stevie Wonder,Male
58,The Rolling Stones,Male
59,Creedence Clearwater Revival,Male
60,Captain Beefheart & His Magic Band,Male
61,Sly & The Family Stone,Mixed
62,Guns N' Roses,Male
63,U2,Male
64,The Rolling Stones,Male
65,Phil Spector,Male
66,Van Morrison,Male
67,Radiohead,Male
68,Michael Jackson,Male
69,Led Zeppelin,Male
70,Billy Joel,Male
71,Paul Simon,Male
72,Curtis Mayfield,Male
73,Led Zeppelin,Male
74,Neil Young,Male
75,James Brown,Male
76,Prince and the Revolution,Male
77,AC/DC,Male
78,Otis Redding,Male
79,Led Zeppelin,Male
80,John Lennon,Male
81,The Clash,Male
82,Neil Young,Male
83,The Jimi Hendrix Experience,Male
84,Aretha Franklin,Female
85,Aretha Franklin,Female
86,Bruce Springsteen,Male
87,Pink Floyd,Male
88,Johnny Cash,Male
89,Dusty Springfield,Male
90,Stevie Wonder,Male
91,Elton John,Male
92,Buddy Holly,Male
93,Prince,Male
94,Hank Williams,Male
95,Miles Davis,Male
96,The Who,Male
97,Bob Dylan,Male
98,Elvis Costello,Male
99,Sly & The Family Stone,Mixed
100,The Zombies,Male
101,Frank Sinatra,Male
102,Cream,Male
103,John Coltrane,Male
104,James Taylor,Male
105,Ray Charles,Male
106,Ramones,Male
107,Sam Cooke,Male
108,David Bowie,Male
109,The Rolling Stones,Male
110,The Velvet Underground,Male
111,Radiohead,Male
112,The Mamas and the Papas,Mixed
113,Joni Mitchell,Female
114,Cream,Male
115,The Who,Male
116,The Rolling Stones,Male
117,Derek and the Dominos,Male
118,Kanye West,Male
119,Etta James,Female
120,The Byrds,Male
121,Sly & The Family Stone,Mixed
122,Various Artists,Mixed
123,Run D.M.C.,Male
124,Moby Grape,Male
125,Janis Joplin,Female
126,The Wailers,Male
127,The Byrds,Male
128,Iggy and The Stooges,Male
129,Talking Heads,Male
130,Television,Male
131,Black Sabbath,Male
132,Various Artists,Mixed
133,Bruce Springsteen,Male
134,The Notorious B.I.G.,Male
135,Pavement,Male
136,Elton John,Male
137,The Replacements,Male
138,Dr. Dre,Male
139,The Meters,Male
140,Blondie,Mixed
141,B.B. King,Male
142,Phil Spector,Male
143,"Dr. John, the Night Tripper",Male
144,N.W.A,Male
145,Steely Dan,Male
146,Jefferson Airplane,Mixed
147,"Crosby, Stills, Nash & Young",Male
148,Led Zeppelin,Male
149,Santana,Male
150,Bruce Springsteen,Male
151,Arcade Fire,Mixed
152,The B 52's,Mixed
153,A Tribe Called Quest,Male
154,Howlin' Wolf,Male
155,Pretenders,Mixed
156,Beastie Boys,Male
157,Joy Division,Male
158,Elton John,Male
159,KISS,Male
